GEOID,NAME,variable,value
01,Alabama,H012001,2.48
02,Alaska,H012001,2.65
04,Arizona,H012001,2.63
05,Arkansas,H012001,2.47
06,California,H012001,2.9
22,Louisiana,H012001,2.55
21,Kentucky,H012001,2.45
08,Colorado,H012001,2.49
09,Connecticut,H012001,2.52
10,Delaware,H012001,2.55
11,District of Columbia,H012001,2.11
12,Florida,H012001,2.48
13,Georgia,H012001,2.63
15,Hawaii,H012001,2.89
16,Idaho,H012001,2.66
17,Illinois,H012001,2.59
18,Indiana,H012001,2.52
19,Iowa,H012001,2.41
20,Kansas,H012001,2.49
23,Maine,H012001,2.32
24,Maryland,H012001,2.61
25,Massachusetts,H012001,2.48
26,Michigan,H012001,2.49
27,Minnesota,H012001,2.48
28,Mississippi,H012001,2.58
29,Missouri,H012001,2.45
30,Montana,H012001,2.35
31,Nebraska,H012001,2.46
32,Nevada,H012001,2.65
33,New Hampshire,H012001,2.46
34,New Jersey,H012001,2.68
35,New Mexico,H012001,2.55
36,New York,H012001,2.57
37,North Carolina,H012001,2.48
38,North Dakota,H012001,2.3
39,Ohio,H012001,2.44
40,Oklahoma,H012001,2.49
41,Oregon,H012001,2.47
42,Pennsylvania,H012001,2.45
44,Rhode Island,H012001,2.44
45,South Carolina,H012001,2.49
46,South Dakota,H012001,2.42
47,Tennessee,H012001,2.48
48,Texas,H012001,2.75
49,Utah,H012001,3.1
50,Vermont,H012001,2.34
51,Virginia,H012001,2.54
53,Washington,H012001,2.51
54,West Virginia,H012001,2.36
55,Wisconsin,H012001,2.43
56,Wyoming,H012001,2.42
72,Puerto Rico,H012001,2.68
01,Alabama,H012002,2.52
02,Alaska,H012002,2.76
04,Arizona,H012002,2.63
05,Arkansas,H012002,2.51
06,California,H012002,2.95
22,Louisiana,H012002,2.61
21,Kentucky,H012002,2.51
08,Colorado,H012002,2.57
09,Connecticut,H012002,2.64
10,Delaware,H012002,2.58
11,District of Columbia,H012002,2.2
12,Florida,H012002,2.47
13,Georgia,H012002,2.67
15,Hawaii,H012002,3.02
16,Idaho,H012002,2.7
17,Illinois,H012002,2.69
18,Indiana,H012002,2.6
19,Iowa,H012002,2.52
20,Kansas,H012002,2.6
23,Maine,H012002,2.43
24,Maryland,H012002,2.71
25,Massachusetts,H012002,2.66
26,Michigan,H012002,2.57
27,Minnesota,H012002,2.59
28,Mississippi,H012002,2.6
29,Missouri,H012002,2.54
30,Montana,H012002,2.42
31,Nebraska,H012002,2.58
32,Nevada,H012002,2.66
33,New Hampshire,H012002,2.59
34,New Jersey,H012002,2.79
35,New Mexico,H012002,2.6
36,New York,H012002,2.71
37,North Carolina,H012002,2.52
38,North Dakota,H012002,2.48
39,Ohio,H012002,2.54
40,Oklahoma,H012002,2.54
41,Oregon,H012002,2.53
42,Pennsylvania,H012002,2.57
44,Rhode Island,H012002,2.59
45,South Carolina,H012002,2.51
46,South Dakota,H012002,2.53
47,Tennessee,H012002,2.53
48,Texas,H012002,2.87
49,Utah,H012002,3.21
50,Vermont,H012002,2.45
51,Virginia,H012002,2.6
53,Washington,H012002,2.61
54,West Virginia,H012002,2.43
55,Wisconsin,H012002,2.56
56,Wyoming,H012002,2.5
72,Puerto Rico,H012002,2.7
01,Alabama,H012003,2.37
02,Alaska,H012003,2.47
04,Arizona,H012003,2.62
05,Arkansas,H012003,2.4
06,California,H012003,2.83
22,Louisiana,H012003,2.43
21,Kentucky,H012003,2.31
08,Colorado,H012003,2.34
09,Connecticut,H012003,2.27
10,Delaware,H012003,2.48
11,District of Columbia,H012003,2.04
12,Florida,H012003,2.49
13,Georgia,H012003,2.56
15,Hawaii,H012003,2.72
16,Idaho,H012003,2.56
17,Illinois,H012003,2.38
18,Indiana,H012003,2.33
19,Iowa,H012003,2.14
20,Kansas,H012003,2.27
23,Maine,H012003,2.04
24,Maryland,H012003,2.42
25,Massachusetts,H012003,2.18
26,Michigan,H012003,2.29
27,Minnesota,H012003,2.16
28,Mississippi,H012003,2.53
29,Missouri,H012003,2.25
30,Montana,H012003,2.18
31,Nebraska,H012003,2.21
32,Nevada,H012003,2.63
33,New Hampshire,H012003,2.14
34,New Jersey,H012003,2.47
35,New Mexico,H012003,2.43
36,New York,H012003,2.41
37,North Carolina,H012003,2.4
38,North Dakota,H012003,1.96
39,Ohio,H012003,2.24
40,Oklahoma,H012003,2.38
41,Oregon,H012003,2.36
42,Pennsylvania,H012003,2.16
44,Rhode Island,H012003,2.21
45,South Carolina,H012003,2.45
46,South Dakota,H012003,2.18
47,Tennessee,H012003,2.38
48,Texas,H012003,2.54
49,Utah,H012003,2.82
50,Vermont,H012003,2.08
51,Virginia,H012003,2.41
53,Washington,H012003,2.35
54,West Virginia,H012003,2.18
55,Wisconsin,H012003,2.16
56,Wyoming,H012003,2.26
72,Puerto Rico,H012003,2.63
