file_type,task,num_rows,time
CSV,write,10000,0.016
CSV,read,10000,0.013
Parquet,write,10000,0.011
Parquet,read,10000,0.006
CSV,write,1e+05,0.02
CSV,read,1e+05,0.024
Parquet,write,1e+05,0.023
Parquet,read,1e+05,0.006
CSV,write,1e+06,0.089
CSV,read,1e+06,0.158
Parquet,write,1e+06,0.127
Parquet,read,1e+06,0.023
CSV,write,1e+07,0.756
CSV,read,1e+07,1.759
Parquet,write,1e+07,1.082
Parquet,read,1e+07,0.73
CSV,write,1e+08,7.2
CSV,read,1e+08,19.533
Parquet,write,1e+08,8.759
Parquet,read,1e+08,5.19
CSV,write,1e+09,70.348
CSV,read,1e+09,649.829
Parquet,write,1e+09,158.144
Parquet,read,1e+09,74.42
