state,gender,age_group,number,cell_prop_of_division_total
ACT,Female,ages18to29,34683,0.12499594555145906
ACT,Female,ages30to44,42980,0.15489795403516737
ACT,Female,ages45to59,33769,0.12170193135908719
ACT,Female,ages60plus,30322,0.10927910102964973
ACT,Male,ages18to29,34163,0.12312188933698054
ACT,Male,ages30to44,41288,0.14880006342959495
ACT,Male,ages45to59,32654,0.11768352236073419
ACT,Male,ages60plus,27614,0.09951959289732695
NSW,Female,ages18to29,532957,0.1071302221654031
NSW,Female,ages30to44,696034,0.13991049381971565
NSW,Female,ages45to59,632371,0.12711353021155203
NSW,Female,ages60plus,664650,0.1336019644403492
NSW,Male,ages18to29,533738,0.10728721176026945
NSW,Male,ages30to44,670319,0.13474149582741357
NSW,Male,ages45to59,616905,0.1240046940089876
NSW,Male,ages60plus,627878,0.12621038776630944
NT,Female,ages18to29,16591,0.1245729560078989
NT,Female,ages30to44,22209,0.166755516845243
NT,Female,ages45to59,17067,0.12814698572640654
NT,Female,ages60plus,9212,0.06916798690523565
NT,Male,ages18to29,17488,0.13130804982617902
NT,Male,ages30to44,22318,0.16757393961691808
NT,Male,ages45to59,17812,0.13374079274381864
NT,Male,ages60plus,10486,0.07873377232830016
QLD,Female,ages18to29,335700,0.10824876902092423
QLD,Female,ages30to44,432378,0.1394232536542424
QLD,Female,ages45to59,410950,0.13251364798674056
QLD,Female,ages60plus,407986,0.13155788584382125
QLD,Male,ages18to29,330810,0.10667195495922532
QLD,Male,ages30to44,407236,0.13131604319632142
QLD,Male,ages45to59,391926,0.12637922861869152
QLD,Male,ages60plus,384204,0.12388921672003328
SA,Female,ages18to29,114941,0.09988025596373963
SA,Female,ages30to44,144580,0.12563565139712962
SA,Female,ages45to59,151277,0.13145514204180092
SA,Female,ages60plus,177171,0.15395624563342683
SA,Male,ages18to29,116644,0.10136011150620271
SA,Male,ages30to44,140916,0.12245174610788434
SA,Male,ages45to59,146737,0.12751001922161162
SA,Male,ages60plus,158522,0.13775082812820433
TAS,Female,ages18to29,31276,0.09105280165825795
TAS,Female,ages30to44,41066,0.11955411027298955
TAS,Female,ages45to59,48075,0.1399591840299511
TAS,Female,ages60plus,55770,0.16236138727717886
TAS,Male,ages18to29,31725,0.09235996075611438
TAS,Male,ages30to44,37902,0.11034285997094555
TAS,Male,ages45to59,45481,0.13240735619066474
TAS,Male,ages60plus,52198,0.15196233984389784
VIC,Female,ages18to29,449574,0.1121283724633105
VIC,Female,ages30to44,570597,0.14231275149908043
VIC,Female,ages45to59,510164,0.12724014068734477
VIC,Female,ages60plus,520355,0.12978188074298322
VIC,Male,ages18to29,450415,0.11233812649989101
VIC,Male,ages30to44,546729,0.13635982718861253
VIC,Male,ages45to59,486642,0.1213735123300955
VIC,Male,ages60plus,474982,0.11846538858868207
WA,Female,ages18to29,175693,0.10807155027649458
WA,Female,ages30to44,235365,0.14477674369967583
WA,Female,ages45to59,208708,0.12837960029771608
WA,Female,ages60plus,194873,0.1198694724151294
WA,Male,ages18to29,180153,0.11081496699903427
WA,Male,ages30to44,234031,0.1439561791463422
WA,Male,ages45to59,209502,0.12886800228823098
WA,Male,ages60plus,187385,0.11526348487737666
