country,year,nmr
Argentina,1971,24.7414214269721
Argentina,1972,24.633247617904
Argentina,1973,24.5769075919453
Argentina,1974,24.4592510893735
Argentina,1975,24.0702108282789
Argentina,1976,23.3359992981798
Argentina,1977,22.3412404088755
Argentina,1978,21.3506621471474
Argentina,1979,20.3971818749309
Argentina,1980,19.1743371311028
Argentina,1981,17.5533997832567
Argentina,1982,16.1755857712212
Argentina,1983,15.5197290875922
Argentina,1984,16.0709020509303
Argentina,1985,16.8666743802448
Argentina,1986,17.1039743815093
Argentina,1987,16.8055461832073
Argentina,1988,16.2325929901647
Argentina,1989,15.584419747218
Argentina,1990,15.0314736156865
Argentina,1991,14.7213001647198
Argentina,1992,14.5895564764474
Argentina,1993,14.4650147694196
Argentina,1994,14.1874484529055
Argentina,1995,13.5882608919892
Argentina,1996,12.5887622273443
Argentina,1997,11.5380536337221
Argentina,1998,10.9156670249075
Argentina,1999,10.8805577765037
Argentina,2000,11.0361065948784
Argentina,2001,11.0193074174764
Argentina,2002,10.7571406568542
Argentina,2003,10.2947884216133
Argentina,2004,9.70985677412988
Argentina,2005,9.14461555198022
Argentina,2006,8.72607050180413
Argentina,2007,8.41191534208488
Argentina,2008,8.09857528835488
Argentina,2009,7.77658981780116
Argentina,2010,7.56004130408865
Argentina,2011,7.53877127523666
Argentina,2012,7.55500790392245
Argentina,2013,7.35898076108359
Argentina,2014,6.92040473119901
Argentina,2015,6.52494913016066
Argentina,2016,6.3885586946975
Argentina,2017,6.31187554174854
Argentina,2018,5.96595009556948
Argentina,2019,5.28919396912868
Argentina,2020,4.57714476911519
Australia,1971,12.3722614138793
Australia,1972,12.0695312438541
Australia,1973,11.6666122469765
Australia,1974,11.1131094432971
Australia,1975,10.4068159361948
Australia,1976,9.63340595613204
Australia,1977,8.86694376903014
Australia,1978,8.16070458625782
Australia,1979,7.55327304311612
Australia,1980,7.06038391619988
Australia,1981,6.67136002741255
Australia,1982,6.36928205015537
Australia,1983,6.12746424074598
Australia,1984,5.91560556509948
Australia,1985,5.71319010574801
Australia,1986,5.50678473306326
Australia,1987,5.28931844967871
Australia,1988,5.06639277244872
Australia,1989,4.84989088038916
Australia,1990,4.64427387352378
Australia,1991,4.43898372340422
Australia,1992,4.23335846743689
Australia,1993,4.04011028074546
Australia,1994,3.87515673755669
Australia,1995,3.74752666065825
Australia,1996,3.65694365163683
Australia,1997,3.60071000565853
Australia,1998,3.56834276407328
Australia,1999,3.5466833169837
Australia,2000,3.52326707858345
Australia,2001,3.4876754397945
Australia,2002,3.436546629182
Australia,2003,3.3732128139833
Australia,2004,3.30247265060283
Australia,2005,3.22555244029588
Australia,2006,3.14198566463315
Australia,2007,3.04978182594662
Australia,2008,2.94752150526232
Australia,2009,2.83668775575985
Australia,2010,2.72224714085276
Australia,2011,2.61314663891242
Australia,2012,2.51802137802813
Australia,2013,2.44020928899204
Australia,2014,2.38302536624243
Australia,2015,2.34794011205418
Australia,2016,2.33157893638058
Australia,2017,2.3324530744322
Australia,2018,2.34302759882568
Australia,2019,2.35634253198476
Australia,2020,2.36513413622085
Canada,1971,12.496706416544
Canada,1972,11.7360523273988
Canada,1973,10.90381269417
Canada,1974,10.0476337774705
Canada,1975,9.29910807383636
Canada,1976,8.75143001961725
Canada,1977,8.31479246592475
Canada,1978,7.83778931213179
Canada,1979,7.27516291724655
Canada,1980,6.72437854063505
Canada,1981,6.27600928361613
Canada,1982,5.92539386389398
Canada,1983,5.6388355746258
Canada,1984,5.38990329435301
Canada,1985,5.15959010030449
Canada,1986,4.93459876111996
Canada,1987,4.73146954797434
Canada,1988,4.57071020648319
Canada,1989,4.45819044805471
Canada,1990,4.36622320412167
Canada,1991,4.26881005142792
Canada,1992,4.17699006871153
Canada,1993,4.11813453816474
Canada,1994,4.09215660297291
Canada,1995,4.05733044835015
Canada,1996,3.98052405902521
Canada,1997,3.88051150819729
Canada,1998,3.79552924456339
Canada,1999,3.75094596515705
Canada,2000,3.75493694598659
Canada,2001,3.80718471696965
Canada,2002,3.88124041848434
Canada,2003,3.93530192988822
Canada,2004,3.94579331291488
Canada,2005,3.91786568291035
Canada,2006,3.86327856800955
Canada,2007,3.80542859127928
Canada,2008,3.76991986981321
Canada,2009,3.76240772856112
Canada,2010,3.75879057854028
Canada,2011,3.73542651198804
Canada,2012,3.69278996261566
Canada,2013,3.64721182328445
Canada,2014,3.6054598287254
Canada,2015,3.55774404392226
Canada,2016,3.49537876133073
Canada,2017,3.42207906436113
Canada,2018,3.34327064108749
Canada,2019,3.26403935236702
Canada,2020,3.18471988776796
Kenya,1971,38.6096214357746
Kenya,1972,37.8473501406105
Kenya,1973,37.0396324536345
Kenya,1974,36.2388010012363
Kenya,1975,35.5463566532418
Kenya,1976,34.925542709509
Kenya,1977,34.3896532908533
Kenya,1978,33.8622479090873
Kenya,1979,33.3286329963458
Kenya,1980,32.822332298666
Kenya,1981,32.2890722112204
Kenya,1982,31.7685468180741
Kenya,1983,31.2576597967536
Kenya,1984,30.719801353549
Kenya,1985,30.1506248964886
Kenya,1986,29.5383745726906
Kenya,1987,28.9381853088855
Kenya,1988,28.3596285591639
Kenya,1989,27.8590894819723
Kenya,1990,27.5109762255499
Kenya,1991,27.3508987456297
Kenya,1992,27.320806420515
Kenya,1993,27.4021435696225
Kenya,1994,27.4924212592068
Kenya,1995,27.6646727457341
Kenya,1996,27.833114274045
Kenya,1997,28.0331232215066
Kenya,1998,28.1694313998054
Kenya,1999,28.2447230287485
Kenya,2000,28.1964119807917
Kenya,2001,28.0249613474953
Kenya,2002,27.7719355016583
Kenya,2003,27.4553797399401
Kenya,2004,27.0646017081668
Kenya,2005,26.6229094534467
Kenya,2006,26.1430496515103
Kenya,2007,25.6205732613364
Kenya,2008,25.1241033595541
Kenya,2009,24.6413774128666
Kenya,2010,24.2172030346537
Kenya,2011,23.8843128948327
Kenya,2012,23.5276661617107
Kenya,2013,23.2084611316597
Kenya,2014,22.8965679188156
Kenya,2015,22.5885977943987
Kenya,2016,22.2105702286663
Kenya,2017,21.8393482836808
Kenya,2018,21.4211395447531
Kenya,2019,20.9737570307519
Kenya,2020,20.4909435020375
